key,x,y,z
NCLRBI,-0.78264,0.45448,-0.42534
0Z4VWJ,-0.90878,-0.28781,-0.30213
AJ8V5N,0.25807,-0.94122,-0.21797
JAKTKV,0.9295,0.36851,-0.015285
79A9GO,0.91895,0.34777,0.18598
5L115E,-0.58008,-0.70704,-0.40448
R51ADW,-0.81644,-0.20474,0.53991
BGQZ3M,-0.60237,0.72442,0.33522
MD58DX,0.97443,-0.1605,-0.15723
88XYOT,-0.89231,-0.23748,-0.3839
LKJF0Q,-0.38271,-0.67205,0.63394
IU1BX7,0.37967,0.92377,-0.049922
ZFCNY8,0.9843,-0.023134,-0.17497
T9DQFK,0.92149,0.29129,0.25691
FQF0XQ,-0.52512,-0.73151,0.43491
CSHZWW,-0.86638,0.49146,-0.088626
ILEBGM,0.67431,-0.73836,0.011201
XJAXSU,0.90529,0.013897,-0.42456
MFV8IE,0.37487,0.88106,-0.28845
AQ013T,-0.81558,0.5132,0.2673
HURQCM,-0.81264,0.50945,-0.28297
UBCLRB,-0.93114,0.19651,-0.30718
S9G44K,-0.8539,0.0028882,0.52043
U9LXBX,0.7294,-0.67572,0.10668
6YDO10,-0.7588,-0.39243,0.51982
805G37,-0.92801,-0.027262,0.37155
JSIAAJ,0.67688,-0.72458,-0.12969
YHSYQO,-0.75845,-0.30887,0.57389
T5817Q,0.35566,-0.9287,0.10498
AXMQX4,0.69938,-0.71341,0.043733
